participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669ea20a8085d,level_A,9,236,22,82,82,85,,72.3076923076923,11,Red,Red,Red,1,5
669ea20a8085d,level_A,9,216,23,97,97,8,,1.5384615384615383,1,Black,Black,Black,1,6
669ea20a8085d,level_A,9,223,24,84,84,31,,43.07692307692308,12,Red,Red,Red,1,7
669ea20a8085d,level_A,9,230,25,71,71,62,,49.23076923076923,6,Black,Black,Red,-1,6
669ea20a8085d,level_A,9,217,26,85,71,8,,13.846153846153848,7,Red,Red,Red,1,7
669ea21750af3,level_A,12,-2,0,59,63,0,,0.0,0,Black,Red,Black,-1,-1
669ea21750af3,level_A,12,-3,1,39,39,54,,60.0,14,Red,Red,Black,-1,-2
669ea21750af3,level_A,12,297,2,67,70,38,,50.76923076923077,16,Red,Red,Red,1,-1
669ea21750af3,level_A,12,304,3,36,36,69,,56.92307692307692,4,Black,Black,Black,1,0
669ea21750af3,level_A,12,289,4,40,40,8,,13.846153846153848,6,Black,Black,Black,1,1
669ea21750af3,level_A,12,300,5,19,19,54,,41.53846153846154,3,Black,Black,Black,1,2
669ea21750af3,level_A,12,308,6,78,78,85,,72.3076923076923,10,Red,Red,Red,1,3
669ea21750af3,level_A,12,310,7,69,71,92,,86.15384615384616,14,Red,Red,Red,1,4
669ea21750af3,level_A,12,288,8,19,19,8,,1.5384615384615383,0,Black,Black,Black,1,5
669ea21750af3,level_A,12,303,9,100,100,62,,73.84615384615385,21,Red,Red,Red,1,6
669ea21750af3,level_A,12,306,10,35,35,77,,64.61538461538461,8,Black,Black,Black,1,7
669ea21750af3,level_A,12,307,11,78,78,77,,89.23076923076924,20,Red,Red,Red,1,8
669ea21750af3,level_A,12,293,12,80,80,23,,35.38461538461539,12,Red,Red,Black,-1,7
669ea21750af3,level_A,12,295,13,79,79,31,,43.07692307692308,17,Red,Red,Red,1,8
669ea21750af3,level_A,12,-1,14,82,82,100,,100.0,21,Red,Red,Red,1,9
669ea21750af3,level_A,12,291,15,87,87,15,,27.692307692307693,12,Red,Red,Black,-1,8
669ea21750af3,level_A,12,302,16,19,19,62,,49.23076923076923,4,Black,Black,Black,1,9
669ea21750af3,level_A,12,309,17,76,76,85,,96.92307692307692,20,Red,Red,Black,-1,8
669ea21750af3,level_A,12,305,18,75,75,69,,81.53846153846153,19,Red,Red,Red,1,9
669ea21750af3,level_A,12,290,19,26,26,15,,3.076923076923077,1,Black,Black,Black,1,10
669ea21750af3,level_A,12,311,20,87,87,92,,98.46153846153848,21,Red,Red,Red,1,11
669ea21750af3,level_A,12,298,21,38,38,46,,33.84615384615385,3,Black,Black,Black,1,12
669ea21750af3,level_A,12,296,22,28,28,38,,26.15384615384616,1,Black,Black,Red,-1,11
669ea21750af3,level_A,12,294,23,21,21,31,,18.461538461538463,1,Black,Black,Red,-1,10
669ea21750af3,level_A,12,299,24,81,81,46,,58.46153846153847,18,Red,Red,Black,-1,9
669ea21750af3,level_A,12,292,25,25,25,23,,10.76923076923077,1,Black,Black,Black,1,10
669ea21750af3,level_A,12,301,26,82,82,54,,66.15384615384615,20,Red,Red,Red,1,11
669ea29ca1359,level_A,0,-2,0,16,1,0,,0.0,0,Black,Black,Black,1,1
669ea29ca1359,level_A,0,-3,1,75,75,54,,60.0,14,Red,Red,Red,1,2
669ea29ca1359,level_A,0,7,2,71,28,31,,43.07692307692308,12,Red,Black,Black,1,3
669ea29ca1359,level_A,0,19,3,85,92,77,,89.23076923076924,21,Red,Red,Red,1,4
669ea29ca1359,level_A,0,15,4,84,84,62,,73.84615384615385,17,Red,Red,Red,1,5
669ea29ca1359,level_A,0,6,5,13,13,31,,18.461538461538463,3,Black,Black,Black,1,6
669ea29ca1359,level_A,0,11,6,82,82,46,,58.46153846153847,16,Red,Red,Black,-1,5
